type,dataset,n,p,lam_fpc,lam_lasso,lam_scale,diff_lam_fpc,violation
survival,ovarian,26,4,0.132424943685528,0.017510718800569,0.0294570116053057,-0.0133616757648249,FALSE
survival,ovarian,26,4,0.120306257568787,0.0159399754501743,0.0253562286221635,-0.012118686116741,FALSE
survival,ovarian,26,4,0.109312513483564,0.0145101306374644,0.0216232933370823,-0.0109937440852228,FALSE
survival,ovarian,26,4,0.0993433412166147,0.0132085455071375,0.0182252091419691,-0.00996917226694963,FALSE
survival,ovarian,26,4,0.0902894187867211,0.0120237149322186,0.0151319392845393,-0.0090539224298936,FALSE
survival,ovarian,26,4,0.0820702891159969,0.0109451658165643,0.0123161413638627,-0.00821912967072418,FALSE
survival,ovarian,26,4,0.0746080156511009,0.00996336451981935,0.00975292564214273,-0.007462273464896,FALSE
survival,ovarian,26,4,0.0678315593016558,0.00906963258652166,0.00741963503636872,-0.00677645634944513,FALSE
survival,ovarian,26,4,0.0616766690924569,0.00825607003446132,0.00529564484511789,-0.00615489020919886,FALSE
survival,ovarian,26,4,0.056085542932745,0.00751548552421257,0.00336218044022726,-0.00559112615971192,FALSE
survival,ovarian,26,4,0.0510056560597411,0.00684133279258623,0.0016021513118547,-0.00507988687300388,FALSE
survival,ovarian,26,4,0.0463895674731383,0.00622765278811704,0,-0.00461608858660285,FALSE
survival,pbc,312,18,8.81501823431015,0.31449849947868,1,,
survival,pbc,312,18,8.19930273888365,0.286287411607793,0.90939210066558,-0.615715495426494,FALSE
survival,pbc,312,18,7.58149886190555,0.260606909670315,0.826911894830991,-0.6178038769781,FALSE
survival,pbc,312,18,6.98408927863527,0.237229995501705,0.751830313594821,-0.597409583270285,FALSE
survival,pbc,312,18,6.45308822562569,0.215950033085979,0.683483686863202,-0.531001053009577,FALSE
survival,pbc,312,18,5.96358393415163,0.196578922033913,0.621267876957738,-0.489504291474064,FALSE
survival,pbc,312,18,5.49604950258115,0.178945434903591,0.56463293844947,-0.467534431570474,FALSE
survival,pbc,312,18,5.04613537336247,0.162893703666312,0.513078257015456,-0.449914129218684,FALSE
survival,pbc,312,18,4.61373021229278,0.14828184193927,0.46614812434877,-0.432405161069692,FALSE
survival,pbc,312,18,4.20432883470558,0.134980690806467,0.423427710007122,-0.409401377587193,FALSE
survival,pbc,312,18,3.82896835572918,0.122872677141771,0.384539394593992,-0.375360478976407,FALSE
survival,pbc,312,18,3.47871548617169,0.111850774342478,0.349139431860094,-0.35025286955749,FALSE
survival,pbc,312,18,3.15438524709368,0.101817556286961,0.316914910220405,-0.324330239078006,FALSE
survival,pbc,312,18,2.85808329832274,0.0926843361540455,0.287580986828662,-0.296301948770939,FALSE
survival,pbc,312,18,2.58520549170382,0.0843703824918474,0.260878369760397,-0.272877806618923,FALSE
survival,pbc,312,18,2.335520865317,0.0768022056066689,0.236571026048742,-0.249684626386816,FALSE
survival,pbc,312,18,2.10821350930421,0.0699129079641072,0.214444095313601,-0.227307356012787,FALSE
survival,pbc,312,18,1.9020820460244,0.0636415928603658,0.194301990542072,-0.206131463279813,FALSE
survival,pbc,312,18,1.7156979719469,0.0579328261368263,0.175966669232327,-0.186384074077506,FALSE
survival,pbc,312,18,1.54752539095794,0.0527361461798028,0.159276059619037,-0.168172580988957,FALSE
survival,pbc,312,18,1.39600704178864,0.04800561787421,0.144082628069235,-0.151518349169297,FALSE
survival,pbc,312,18,1.25962258918695,0.0436994265683995,0.130252074985379,-0.136384452601688,FALSE
survival,pbc,312,18,1.13691204400919,0.0397795084610889,0.117662147688285,-0.122710545177762,FALSE
survival,pbc,312,18,1.02656686314377,0.0362112141432569,0.106201559786627,-0.110345180865425,FALSE
survival,pbc,312,18,0.927292192662776,0.0329630023209421,0.0957690074809466,-0.0992746704809897,FALSE
survival,pbc,312,18,0.837631546216211,0.0300061610116646,0.0862722741069972,-0.0896606464465654,FALSE
survival,pbc,312,18,0.756806463860245,0.0273145537500362,0.077627415003173,-0.0808250823559654,FALSE
survival,pbc,312,18,0.68414566976462,0.024864388559189,0.0697580154968149,-0.0726607940956258,FALSE
survival,pbc,312,18,0.618765997196062,0.0226340076458877,0.0625945154504955,-0.0653796725685573,FALSE
survival,pbc,312,18,0.560198217860542,0.0206036959603728,0.0560735943977319,-0.0585677793355204,FALSE
